,T,LTV,GKW,HTV
2023-09-01 00:00:00,13.600000000000001,5944600.240804048,2584736.07498341,5200002.831490515
2023-09-01 00:05:00,13.616666666666667,2690736.3297471544,2349428.768829856,5146699.212833547
2023-09-01 00:10:00,13.633333333333335,4752193.418037472,1436479.0474399545,4031841.9315065257
2023-09-01 00:15:00,13.650000000000002,3858016.1799624166,2017226.9023334216,3798328.8614879707
2023-09-01 00:20:00,13.666666666666668,4106762.916911235,2293247.5629717116,3336175.566590701
2023-09-01 00:25:00,13.683333333333334,3562888.8976831133,2092935.3226497732,5972601.030119118
2023-09-01 00:30:00,13.700000000000001,5713646.117694083,2710135.863496787,4743663.360031872
2023-09-01 00:35:00,13.716666666666669,3729040.069932194,3533208.612055539,5907867.448107064
2023-09-01 00:40:00,13.733333333333334,2184453.20558754,3500986.344739079,3178148.566063114
2023-09-01 00:45:00,13.75,1556554.5016351352,2251685.64297224,3768113.689160507
2023-09-01 00:50:00,13.766666666666667,5852293.952242587,2901781.7607253795,5518835.174645373
2023-09-01 00:55:00,13.783333333333335,5185910.095349916,1928021.3852294725,5494949.078904657
2023-09-01 01:00:00,13.8,4217244.879640387,2186702.652682139,4596543.960822505
2023-09-01 01:05:00,13.825000000000001,4846051.540354877,2120902.1701740474,2303842.5831990424
2023-09-01 01:10:00,13.850000000000001,5997664.2213460095,1694909.0109669415,1163556.487509718
2023-09-01 01:15:00,13.875,9235893.49449262,2297766.450278174,3603612.853431726
2023-09-01 01:20:00,13.9,4800684.712211705,2581942.5772052957,5142258.748856719
2023-09-01 01:25:00,13.925,7570945.404875106,992033.9513816584,4161075.67682538
2023-09-01 01:30:00,13.950000000000001,8483193.7831733,1903068.1912348636,3560118.2904422544
2023-09-01 01:35:00,13.975000000000001,6830925.324256509,4362176.814410868,4919720.404260671
2023-09-01 01:40:00,14.000000000000002,6450658.747044211,2310472.7256933786,5329218.685745382
2023-09-01 01:45:00,14.025000000000002,3318797.959036488,1418702.461080636,3384413.2015555575
2023-09-01 01:50:00,14.05,2651918.687036458,2258921.853236373,4353530.2446167385
2023-09-01 01:55:00,14.075000000000001,4916064.339291811,3085906.5470070443,5803590.189649126
2023-09-01 02:00:00,14.100000000000001,7698589.586140424,2990066.6567933983,3955334.6902392097
2023-09-01 02:05:00,14.108333333333334,7893891.271895163,1630044.1659829752,5295425.317246472
2023-09-01 02:10:00,14.116666666666667,1399820.7611922212,1766493.6366826226,5423253.974787779
2023-09-01 02:15:00,14.125000000000002,5149641.128932961,2078406.224323547,3850254.238789954
2023-09-01 02:20:00,14.133333333333335,707454.080381577,555251.5287034011,4218712.794642727
2023-09-01 02:25:00,14.141666666666667,3981140.3097950504,1394328.3391394445,4143060.4916451075
2023-09-01 02:30:00,14.150000000000002,5450722.645452429,3310032.519901723,3275367.6346708494
2023-09-01 02:35:00,14.158333333333335,7760544.880594398,4006355.854175601,4919669.16152806
2023-09-01 02:40:00,14.166666666666668,6531591.057025287,1830267.4006393482,5569004.415110399
2023-09-01 02:45:00,14.175,3310847.9631789564,2754295.543111505,7362901.078250132
2023-09-01 02:50:00,14.183333333333334,5538010.1836336935,3036081.7927129944,3798338.897379447
2023-09-01 02:55:00,14.191666666666668,3005295.149421602,2784111.585063615,5087680.065537223
2023-09-01 03:00:00,14.200000000000001,7495862.778027918,1853078.5705833407,4830624.790912463
2023-09-01 03:05:00,14.208333333333334,4658023.7356160255,1778237.6077276336,3137677.562228841
2023-09-01 03:10:00,14.216666666666669,5416620.9503519805,3042259.5051905625,3368412.869342264
2023-09-01 03:15:00,14.225000000000001,5521695.202341475,3163669.211117956,5194162.951119153
2023-09-01 03:20:00,14.233333333333334,7395199.966512209,1795212.826220621,4204437.627681649
2023-09-01 03:25:00,14.241666666666667,7013849.250086065,3520434.7675688122,4957588.303070005
2023-09-01 03:30:00,14.25,1856450.5260702653,867018.466160621,3895346.993142931
2023-09-01 03:35:00,14.258333333333335,3419131.117227268,1122911.6534266185,2459774.2451102976
2023-09-01 03:40:00,14.266666666666667,4009047.0080926646,1974250.5948000269,3758826.5008330834
2023-09-01 03:45:00,14.275,7875111.399674921,4038646.7680370817,6302636.452548673
