,station_code,T,T10N,TD,ds
0,370,-32,,-72,2023-03-01 00:00:00+00:00
1,370,-40,,-74,2023-03-01 01:00:00+00:00
2,370,-54,,-83,2023-03-01 02:00:00+00:00
3,370,-51,,-80,2023-03-01 03:00:00+00:00
4,370,-44,,-72,2023-03-01 04:00:00+00:00
5,370,-48,-79.0,-74,2023-03-01 05:00:00+00:00
6,370,-36,,-66,2023-03-01 06:00:00+00:00
7,370,1,,-51,2023-03-01 07:00:00+00:00
8,370,20,,-44,2023-03-01 08:00:00+00:00
9,370,37,,-48,2023-03-01 09:00:00+00:00
10,370,47,,-52,2023-03-01 10:00:00+00:00
11,370,55,-74.0,-48,2023-03-01 11:00:00+00:00
12,370,62,,-50,2023-03-01 12:00:00+00:00
13,370,65,,-48,2023-03-01 13:00:00+00:00
14,370,69,,-48,2023-03-01 14:00:00+00:00
15,370,63,,-52,2023-03-01 15:00:00+00:00
16,370,56,,-53,2023-03-01 16:00:00+00:00
17,370,28,9.0,-55,2023-03-01 17:00:00+00:00
18,370,14,,-58,2023-03-01 18:00:00+00:00
19,370,-7,,-61,2023-03-01 19:00:00+00:00
20,370,-8,,-56,2023-03-01 20:00:00+00:00
21,370,7,,-51,2023-03-01 21:00:00+00:00
22,370,-4,,-54,2023-03-01 22:00:00+00:00
23,370,-6,-36.0,-54,2023-03-01 23:00:00+00:00
24,370,-12,,-55,2023-03-02 00:00:00+00:00
25,370,-20,,-60,2023-03-02 01:00:00+00:00
26,370,-3,,-46,2023-03-02 02:00:00+00:00
27,370,-18,,-45,2023-03-02 03:00:00+00:00
28,370,-21,,-42,2023-03-02 04:00:00+00:00
29,370,-17,-38.0,-37,2023-03-02 05:00:00+00:00
30,370,-14,,-32,2023-03-02 06:00:00+00:00
31,370,5,,-25,2023-03-02 07:00:00+00:00
32,370,23,,-26,2023-03-02 08:00:00+00:00
33,370,43,,-34,2023-03-02 09:00:00+00:00
34,370,59,,-34,2023-03-02 10:00:00+00:00
35,370,71,-30.0,-31,2023-03-02 11:00:00+00:00
36,370,85,,-17,2023-03-02 12:00:00+00:00
37,370,89,,-26,2023-03-02 13:00:00+00:00
38,370,93,,-33,2023-03-02 14:00:00+00:00
39,370,89,,-22,2023-03-02 15:00:00+00:00
40,370,72,,-12,2023-03-02 16:00:00+00:00
41,370,56,42.0,0,2023-03-02 17:00:00+00:00
42,370,35,,-7,2023-03-02 18:00:00+00:00
43,370,21,,-4,2023-03-02 19:00:00+00:00
44,370,25,,-1,2023-03-02 20:00:00+00:00
45,370,9,,-10,2023-03-02 21:00:00+00:00
46,370,8,,-5,2023-03-02 22:00:00+00:00
47,370,-3,-12.0,-12,2023-03-02 23:00:00+00:00
48,370,5,,-4,2023-03-03 00:00:00+00:00
49,370,7,,-2,2023-03-03 01:00:00+00:00
50,370,1,,-9,2023-03-03 02:00:00+00:00
51,370,3,,-8,2023-03-03 03:00:00+00:00
52,370,1,,-10,2023-03-03 04:00:00+00:00
53,370,6,-13.0,-9,2023-03-03 05:00:00+00:00
54,370,12,,-7,2023-03-03 06:00:00+00:00
55,370,17,,-5,2023-03-03 07:00:00+00:00
56,370,21,,-6,2023-03-03 08:00:00+00:00
57,370,27,,-1,2023-03-03 09:00:00+00:00
58,370,35,,-3,2023-03-03 10:00:00+00:00
59,370,52,5.0,7,2023-03-03 11:00:00+00:00
60,370,61,,8,2023-03-03 12:00:00+00:00
61,370,71,,6,2023-03-03 13:00:00+00:00
62,370,74,,3,2023-03-03 14:00:00+00:00
63,370,72,,-2,2023-03-03 15:00:00+00:00
64,370,67,,0,2023-03-03 16:00:00+00:00
65,370,64,60.0,-4,2023-03-03 17:00:00+00:00
66,370,57,,-5,2023-03-03 18:00:00+00:00
67,370,55,,-8,2023-03-03 19:00:00+00:00
68,370,52,,-4,2023-03-03 20:00:00+00:00
69,370,52,,-1,2023-03-03 21:00:00+00:00
70,370,49,,-1,2023-03-03 22:00:00+00:00
71,370,49,42.0,1,2023-03-03 23:00:00+00:00
72,370,51,,5,2023-03-04 00:00:00+00:00
73,370,52,,5,2023-03-04 01:00:00+00:00
74,370,51,,5,2023-03-04 02:00:00+00:00
75,370,50,,7,2023-03-04 03:00:00+00:00
76,370,51,,2,2023-03-04 04:00:00+00:00
