,station_code,T,T10N,TD,ds
0,370,56,,42,2022-12-01 00:00:00+00:00
1,370,56,,44,2022-12-01 01:00:00+00:00
2,370,56,,42,2022-12-01 02:00:00+00:00
3,370,56,,42,2022-12-01 03:00:00+00:00
4,370,56,,43,2022-12-01 04:00:00+00:00
5,370,55,54.0,43,2022-12-01 05:00:00+00:00
6,370,56,,42,2022-12-01 06:00:00+00:00
7,370,58,,39,2022-12-01 07:00:00+00:00
8,370,59,,39,2022-12-01 08:00:00+00:00
9,370,64,,36,2022-12-01 09:00:00+00:00
10,370,67,,36,2022-12-01 10:00:00+00:00
11,370,69,54.0,38,2022-12-01 11:00:00+00:00
12,370,71,,33,2022-12-01 12:00:00+00:00
13,370,65,,30,2022-12-01 13:00:00+00:00
14,370,66,,31,2022-12-01 14:00:00+00:00
15,370,62,,32,2022-12-01 15:00:00+00:00
16,370,60,,35,2022-12-01 16:00:00+00:00
17,370,58,56.0,34,2022-12-01 17:00:00+00:00
18,370,57,,34,2022-12-01 18:00:00+00:00
19,370,57,,33,2022-12-01 19:00:00+00:00
20,370,55,,35,2022-12-01 20:00:00+00:00
21,370,53,,39,2022-12-01 21:00:00+00:00
22,370,53,,38,2022-12-01 22:00:00+00:00
23,370,53,52.0,36,2022-12-01 23:00:00+00:00
24,370,47,,21,2022-12-02 00:00:00+00:00
25,370,45,,22,2022-12-02 01:00:00+00:00
26,370,40,,16,2022-12-02 02:00:00+00:00
27,370,35,,8,2022-12-02 03:00:00+00:00
28,370,32,,6,2022-12-02 04:00:00+00:00
29,370,31,31.0,3,2022-12-02 05:00:00+00:00
30,370,31,,3,2022-12-02 06:00:00+00:00
31,370,31,,6,2022-12-02 07:00:00+00:00
32,370,31,,11,2022-12-02 08:00:00+00:00
33,370,29,,18,2022-12-02 09:00:00+00:00
34,370,31,,17,2022-12-02 10:00:00+00:00
35,370,35,29.0,15,2022-12-02 11:00:00+00:00
36,370,35,,12,2022-12-02 12:00:00+00:00
37,370,35,,4,2022-12-02 13:00:00+00:00
38,370,33,,3,2022-12-02 14:00:00+00:00
39,370,28,,-1,2022-12-02 15:00:00+00:00
40,370,26,,-7,2022-12-02 16:00:00+00:00
41,370,26,24.0,-7,2022-12-02 17:00:00+00:00
42,370,26,,-12,2022-12-02 18:00:00+00:00
43,370,24,,-14,2022-12-02 19:00:00+00:00
44,370,23,,-14,2022-12-02 20:00:00+00:00
45,370,21,,-13,2022-12-02 21:00:00+00:00
46,370,20,,-13,2022-12-02 22:00:00+00:00
47,370,19,18.0,-11,2022-12-02 23:00:00+00:00
48,370,20,,-11,2022-12-03 00:00:00+00:00
49,370,20,,-9,2022-12-03 01:00:00+00:00
50,370,21,,-8,2022-12-03 02:00:00+00:00
51,370,21,,-8,2022-12-03 03:00:00+00:00
52,370,20,,-7,2022-12-03 04:00:00+00:00
53,370,19,18.0,-8,2022-12-03 05:00:00+00:00
54,370,19,,-7,2022-12-03 06:00:00+00:00
55,370,20,,-7,2022-12-03 07:00:00+00:00
56,370,22,,-11,2022-12-03 08:00:00+00:00
57,370,19,,-17,2022-12-03 09:00:00+00:00
58,370,17,,-19,2022-12-03 10:00:00+00:00
59,370,18,18.0,-17,2022-12-03 11:00:00+00:00
60,370,18,,-17,2022-12-03 12:00:00+00:00
61,370,19,,-15,2022-12-03 13:00:00+00:00
62,370,17,,-15,2022-12-03 14:00:00+00:00
63,370,16,,-16,2022-12-03 15:00:00+00:00
64,370,15,,-17,2022-12-03 16:00:00+00:00
65,370,12,12.0,-13,2022-12-03 17:00:00+00:00
66,370,11,,-15,2022-12-03 18:00:00+00:00
67,370,10,,-17,2022-12-03 19:00:00+00:00
68,370,9,,-17,2022-12-03 20:00:00+00:00
69,370,7,,-17,2022-12-03 21:00:00+00:00
70,370,8,,-16,2022-12-03 22:00:00+00:00
71,370,8,6.0,-15,2022-12-03 23:00:00+00:00
72,370,7,,-16,2022-12-04 00:00:00+00:00
73,370,8,,-17,2022-12-04 01:00:00+00:00
74,370,8,,-17,2022-12-04 02:00:00+00:00
75,370,8,,-17,2022-12-04 03:00:00+00:00
76,370,8,,-17,2022-12-04 04:00:00+00:00
77,370,8,7.0,-16,2022-12-04 05:00:00+00:00
78,370,9,,-14,2022-12-04 06:00:00+00:00
79,370,10,,-14,2022-12-04 07:00:00+00:00
80,370,12,,-14,2022-12-04 08:00:00+00:00
81,370,15,,-15,2022-12-04 09:00:00+00:00
82,370,11,,-17,2022-12-04 10:00:00+00:00
83,370,12,7.0,-16,2022-12-04 11:00:00+00:00
84,370,13,,-15,2022-12-04 12:00:00+00:00
85,370,15,,-14,2022-12-04 13:00:00+00:00
86,370,16,,-12,2022-12-04 14:00:00+00:00
87,370,18,,-6,2022-12-04 15:00:00+00:00
88,370,20,,-4,2022-12-04 16:00:00+00:00
89,370,21,13.0,-5,2022-12-04 17:00:00+00:00
