,T,LTV,GKW,HTV
2023-03-01 00:00:00,-3.2,30972070.732270673,2236746.324906471,5624887.905874024
2023-03-01 00:05:00,-3.2666666666666666,33176793.619972862,3890740.0299607487,5330744.693323226
2023-03-01 00:10:00,-3.3333333333333335,27495447.844713885,3798246.4908718495,5204175.018700867
2023-03-01 00:15:00,-3.4000000000000004,30795607.305662207,2638821.8836637954,5068880.151572612
2023-03-01 00:20:00,-3.466666666666667,32771902.35738345,397379.54163494473,5340352.643398737
2023-03-01 00:25:00,-3.533333333333333,34693135.09675568,3213245.504030808,4590040.575476942
2023-03-01 00:30:00,-3.6,35390901.28669942,3541481.394306307,3830419.8705494073
2023-03-01 00:35:00,-3.666666666666667,34481323.22297651,1160843.5627416887,3739949.118552747
2023-03-01 00:40:00,-3.7333333333333334,32101076.8206914,3920414.536731936,4925056.345844103
2023-03-01 00:45:00,-3.8,34696293.13170824,2626330.463186613,4074141.630497817
2023-03-01 00:50:00,-3.8666666666666667,33767427.14178806,2655964.2841873835,2916080.9736933103
2023-03-01 00:55:00,-3.9333333333333336,32029959.401206043,2540174.7860936048,4925582.832868105
2023-03-01 01:00:00,-4.0,36184477.92370387,4514416.942802912,4113758.63035932
2023-03-01 01:05:00,-4.116666666666667,34886090.74196484,2044848.4878313462,4389476.196691803
2023-03-01 01:10:00,-4.233333333333333,32560509.17029195,3800383.1570269195,4182099.2203579536
2023-03-01 01:15:00,-4.35,34913606.87658616,3804217.6778091253,2698895.148693244
2023-03-01 01:20:00,-4.466666666666667,31898635.690181196,543133.5468290653,5145672.018059966
2023-03-01 01:25:00,-4.583333333333334,33776526.61991596,2546372.441275456,5379540.520615466
2023-03-01 01:30:00,-4.7,37697764.38412629,3099373.423151292,4173563.9934243294
2023-03-01 01:35:00,-4.816666666666666,32129737.62825905,2951347.0042685973,4476777.626214911
2023-03-01 01:40:00,-4.933333333333334,31079080.582738165,3010746.4713673405,3750577.0382134616
2023-03-01 01:45:00,-5.050000000000001,34046867.640785724,4356430.303079735,3769549.010142952
2023-03-01 01:50:00,-5.166666666666667,36512381.51059571,3481508.0694276267,3313851.4339772607
2023-03-01 01:55:00,-5.283333333333333,33691368.108479775,2598413.6829141914,5794791.980295181
2023-03-01 02:00:00,-5.4,35067873.62742772,2235951.8264295193,4732566.238117155
2023-03-01 02:05:00,-5.375,35405352.74781105,2023979.4178718692,3923910.150755613
2023-03-01 02:10:00,-5.3500000000000005,37262904.75562353,2679930.577034303,4401869.677795703
2023-03-01 02:15:00,-5.325,34669246.81045425,2398733.6077963626,5549614.936145548
2023-03-01 02:20:00,-5.300000000000001,33955424.38378046,2600072.529872127,5008708.228476548
2023-03-01 02:25:00,-5.275,34410852.425726414,2060453.8755044886,4231811.474168793
2023-03-01 02:30:00,-5.25,35322530.75341126,3166886.397398864,3726757.5797212436
2023-03-01 02:35:00,-5.2250000000000005,35534300.96256879,2863530.5057474156,4111340.9864238193
2023-03-01 02:40:00,-5.2,36406306.99876654,3102608.3588326476,4141853.897186678
2023-03-01 02:45:00,-5.175000000000001,35833702.720044866,1774518.7015305904,4822438.910620636
2023-03-01 02:50:00,-5.15,37442154.64531904,2036121.8598223836,4766925.836757244
2023-03-01 02:55:00,-5.125000000000001,33827488.54726147,1333676.502003678,3946091.3261055634
2023-03-01 03:00:00,-5.1000000000000005,29482541.5222789,2873476.1998746055,4621712.393473954
2023-03-01 03:05:00,-5.041666666666667,39879311.865589656,3384217.334540319,5679058.967370512
2023-03-01 03:10:00,-4.983333333333334,37132867.16535471,3437033.232156285,5827625.148111698
2023-03-01 03:15:00,-4.925000000000001,32568873.027615245,3440304.3393616644,4357953.248173688
2023-03-01 03:20:00,-4.866666666666667,32912091.419785198,3120795.136399469,4351557.747264252
2023-03-01 03:25:00,-4.808333333333334,32909572.520364523,3074852.4094616445,4911855.6178921
2023-03-01 03:30:00,-4.75,36531777.21383172,2320763.382624804,6227181.780067422
2023-03-01 03:35:00,-4.691666666666667,37634389.95542287,1345594.7844019087,4005771.2865461605
2023-03-01 03:40:00,-4.633333333333334,33888965.36500766,1606851.3929715273,4040027.49259119
2023-03-01 03:45:00,-4.575,33118791.463785168,2065189.4129989152,3763122.948359335
2023-03-01 03:50:00,-4.5166666666666675,36676718.547574624,2667536.1183055737,4978827.8163381275
2023-03-01 03:55:00,-4.458333333333334,33560458.75500266,358733.02067098254,3425899.191088841
2023-03-01 04:00:00,-4.4,35655637.22292069,1824372.877085277,5909175.512901453
2023-03-01 04:05:00,-4.433333333333334,36216334.05976604,3085888.2154502654,2247652.50425581
2023-03-01 04:10:00,-4.466666666666667,36867379.957646884,3078780.819617344,5022281.353247397
2023-03-01 04:15:00,-4.5,35656166.17588588,1780700.0859873842,5139396.500609243
2023-03-01 04:20:00,-4.533333333333334,35531888.352239504,3205572.6475730375,4765340.073983058
2023-03-01 04:25:00,-4.566666666666667,30629656.56328089,1024134.5733822535,5896542.538636692
2023-03-01 04:30:00,-4.6000000000000005,33463435.341966067,2324963.106143604,2775422.0921767517
2023-03-01 04:35:00,-4.633333333333334,32395596.810854524,3207774.2875453606,4434482.390675082
2023-03-01 04:40:00,-4.666666666666667,36563956.311244346,3075281.9252958824,3780863.23123053
2023-03-01 04:45:00,-4.700000000000001,34282383.14850661,3818778.6155075147,5262891.526235727
2023-03-01 04:50:00,-4.733333333333334,34569283.40073307,3741606.7349155163,5151143.53451583
2023-03-01 04:55:00,-4.7666666666666675,36156085.84413098,1921444.530610748,4819082.677930124
2023-03-01 05:00:00,-4.800000000000001,36777687.82400138,305226.9305945006,4743225.839730189
2023-03-01 05:05:00,-4.700000000000001,36383205.03664422,1947052.819389883,5914082.183731692
2023-03-01 05:10:00,-4.6000000000000005,32642844.6422012,3034564.361689496,4338555.754385061
2023-03-01 05:15:00,-4.500000000000001,35801551.8928275,3758200.8256822256,4491770.77594042
2023-03-01 05:20:00,-4.4,33944535.70231486,3946993.2237755274,5388811.640643879
2023-03-01 05:25:00,-4.300000000000001,33911395.844909914,2628248.624840385,6335175.6060258895
2023-03-01 05:30:00,-4.2,34989301.83837004,1979777.2167976673,5245287.949955485
2023-03-01 05:35:00,-4.1000000000000005,35357396.87973246,856422.1205198714,4695495.38577871
2023-03-01 05:40:00,-4.0,32731634.886792038,514428.0639235424,4364964.154533092
2023-03-01 05:45:00,-3.9000000000000004,33732979.06471048,2822796.6338065374,3408288.7452550144
2023-03-01 05:50:00,-3.8000000000000003,33176671.02454259,2717795.1311667925,3592710.5753848124
2023-03-01 05:55:00,-3.7,32012304.97822378,1875346.0379142473,4777789.883861684
2023-03-01 06:00:00,-3.6,33760826.50804334,2607094.0909031844,4256176.7558771195
2023-03-01 06:05:00,-3.291666666666667,32791488.894210536,3786163.467991636,3735065.688039698
2023-03-01 06:10:00,-2.9833333333333334,32076404.924317252,2230865.2558146873,4818426.666719403
2023-03-01 06:15:00,-2.675,33870095.22293394,3492698.596306135,4734974.515781905
2023-03-01 06:20:00,-2.3666666666666667,27282174.729172736,2877264.604737731,2953279.5756238755
2023-03-01 06:25:00,-2.0583333333333336,33073353.60915969,2662891.4836576055,4127806.8563443953
2023-03-01 06:30:00,-1.75,34652228.68163199,3502169.7321359185,4997839.326202
2023-03-01 06:35:00,-1.4416666666666669,32290454.42775604,2887828.8991726083,2884562.6218027826
2023-03-01 06:40:00,-1.1333333333333333,26353321.3818998,4354249.739746497,5140685.837418984
2023-03-01 06:45:00,-0.8249999999999997,25179979.00537825,1349100.747185069,4145322.7482020915
2023-03-01 06:50:00,-0.5166666666666666,26355598.936195318,1783659.9856089633,3497228.394766861
2023-03-01 06:55:00,-0.20833333333333348,29094630.7833691,712605.2125303764,4646110.43915491
2023-03-01 07:00:00,0.1,25185026.72468584,2898712.6569457124,14028200.619684841
2023-03-01 07:05:00,0.2583333333333333,27775997.7340023,2455675.4514370025,13253568.07273203
2023-03-01 07:10:00,0.41666666666666663,24319656.16458532,2602958.7622653665,13157385.199249022
2023-03-01 07:15:00,0.575,27604213.948087297,1907913.6896146531,11825029.814696811
2023-03-01 07:20:00,0.7333333333333333,20871205.751167797,2810538.2609920404,13268427.008819554
2023-03-01 07:25:00,0.8916666666666666,25126257.858771984,3705419.5745103983,14062610.644013474
2023-03-01 07:30:00,1.05,26005473.75690651,2832368.7501327633,12018413.768969974
2023-03-01 07:35:00,1.2083333333333335,28889019.94609553,1851643.8685601996,12963080.413709467
2023-03-01 07:40:00,1.3666666666666667,25656826.3046297,3629129.2806510692,11638785.35678245
2023-03-01 07:45:00,1.525,22876699.593557667,1784365.9248129479,14420959.157377983
2023-03-01 07:50:00,1.6833333333333333,25480867.621648222,2499069.965101516,13221093.058058321
2023-03-01 07:55:00,1.8416666666666668,19640250.47307349,3543407.860613524,14282624.172088897
2023-03-01 08:00:00,2.0,26068452.51123005,9695144.551627478,11231854.373715904
2023-03-01 08:05:00,2.1416666666666666,26107457.911709405,11004169.312912218,11701069.864524625
2023-03-01 08:10:00,2.283333333333333,23462386.61268682,9235798.698208546,12515443.91303436
2023-03-01 08:15:00,2.425,26436116.32589492,12230028.29028387,13558881.041663257
2023-03-01 08:20:00,2.566666666666667,24782433.526075497,10158649.077303054,11969447.143077392
2023-03-01 08:25:00,2.7083333333333335,24060016.359722305,11590059.885954553,12204488.252187436
2023-03-01 08:30:00,2.85,23516640.564362045,10428828.65292901,10993169.652553018
2023-03-01 08:35:00,2.9916666666666667,20414059.755204957,10155604.491963323,13828334.6844439
2023-03-01 08:40:00,3.1333333333333337,21652833.61292487,10992358.117789604,13538343.221043715
2023-03-01 08:45:00,3.2750000000000004,23173838.302339498,10482410.169160392,13510314.667180166
2023-03-01 08:50:00,3.416666666666667,25530041.784095816,11156985.142774608,12973590.079106914
2023-03-01 08:55:00,3.5583333333333336,22871536.515005644,9997987.35918686,10359908.853819504
2023-03-01 09:00:00,3.7,23972248.42542665,10948849.986623496,12892271.36015065
2023-03-01 09:05:00,3.7833333333333337,18891766.6246246,10510502.366876258,11304612.485633412
2023-03-01 09:10:00,3.8666666666666667,21908479.5818571,10085540.242312225,13467224.724736897
2023-03-01 09:15:00,3.95,17960768.499029096,11406189.397951664,14712354.3817134
2023-03-01 09:20:00,4.033333333333333,23661343.2498614,11869032.964932239,12625940.96637165
2023-03-01 09:25:00,4.116666666666667,20852023.055117097,9125828.70498712,12239897.32180818
2023-03-01 09:30:00,4.2,23247144.865808804,11221181.683794336,12606927.719977854
2023-03-01 09:35:00,4.283333333333333,18203033.722702216,10664122.216821754,13417650.590234082
2023-03-01 09:40:00,4.366666666666667,20627349.551760525,10035596.722170625,14489450.81960383
2023-03-01 09:45:00,4.45,21919564.01728021,12168063.301361939,13863456.306128416
2023-03-01 09:50:00,4.533333333333333,21271147.686517645,11020021.532017848,11403339.463455142
2023-03-01 09:55:00,4.616666666666667,18396536.249866616,9128419.210901434,12817606.394831622
2023-03-01 10:00:00,4.7,16349021.319021294,10192394.823013062,5320818.334303657
2023-03-01 10:05:00,4.766666666666667,19412711.85714893,9828793.565641228,6346471.593151461
2023-03-01 10:10:00,4.833333333333334,19687495.5172735,10821512.574996205,5017237.2257542405
2023-03-01 10:15:00,4.9,19112531.71227195,11405734.788688377,6250502.916659191
2023-03-01 10:20:00,4.966666666666667,18987876.128605913,9498345.05996571,5427956.107751625
2023-03-01 10:25:00,5.033333333333333,21994046.10488494,10358894.790243652,7032694.922369956
2023-03-01 10:30:00,5.1,22103614.580896214,11240095.326231183,3677209.1531012496
2023-03-01 10:35:00,5.166666666666667,17042761.83839813,9404426.495738886,4871163.903085432
2023-03-01 10:40:00,5.233333333333333,19866905.31612668,10408463.203059986,1391665.4015975657
2023-03-01 10:45:00,5.3,12524614.675964687,11031879.634866517,5607420.594441795
2023-03-01 10:50:00,5.366666666666667,16160618.89129749,11335848.68920608,5267343.59017791
2023-03-01 10:55:00,5.433333333333334,18144119.34916592,10313061.635063922,3955557.837729096
2023-03-01 11:00:00,5.5,18255973.19037106,9264787.152527435,5768892.396104672
2023-03-01 11:05:00,5.558333333333334,19864192.093308963,11586003.340464458,4610951.176487098
2023-03-01 11:10:00,5.616666666666667,18263570.14173401,10760901.886539685,4957554.294459583
2023-03-01 11:15:00,5.675,19009014.43175103,10574858.81962909,4786276.64307744
2023-03-01 11:20:00,5.733333333333333,17651250.474664196,9754571.213754028,2406629.6455670632
2023-03-01 11:25:00,5.791666666666667,16969857.260449942,11856684.050217075,4266927.475843331
2023-03-01 11:30:00,5.85,17114759.6371925,10692165.363920417,3281649.300126998
2023-03-01 11:35:00,5.908333333333333,20437501.49990878,11998076.590273963,3021218.4741631146
2023-03-01 11:40:00,5.966666666666667,18572152.835891537,11337250.278614357,4084074.8368129167
2023-03-01 11:45:00,6.025,17826069.233984903,10857610.00629357,4906370.714714056
2023-03-01 11:50:00,6.083333333333334,17969390.973249335,11505497.464360077,4085545.3952669823
2023-03-01 11:55:00,6.141666666666667,16673361.742017074,11249484.68012101,5629249.513153486
2023-03-01 12:00:00,6.2,17769913.108156376,11131128.616720445,3917387.7663326245
2023-03-01 12:05:00,6.2250000000000005,19606816.242505103,10116012.925229467,3777588.189894197
2023-03-01 12:10:00,6.25,18843687.487940025,10121306.89953214,4180854.4788143924
