,T,LTV,GKW,HTV
2023-06-01 00:00:00,11.5,11183672.481834155,1716026.39211037,3754442.64910285
2023-06-01 00:05:00,11.391666666666667,9331087.027189586,1614281.4751352437,4550366.099851053
2023-06-01 00:10:00,11.283333333333333,8124975.575143511,2307990.2086602594,4533388.876974547
2023-06-01 00:15:00,11.175,11080087.539489683,2134153.0211017076,3402748.005568936
2023-06-01 00:20:00,11.066666666666666,12623745.76243606,4349867.11032661,5411717.913346982
2023-06-01 00:25:00,10.958333333333334,12098778.023494251,2291478.874933131,3003316.4989086967
2023-06-01 00:30:00,10.850000000000001,8966459.916919785,3875664.6223410354,4429046.120316243
2023-06-01 00:35:00,10.741666666666667,9794919.286664136,2655811.7915489236,4024778.2539457665
2023-06-01 00:40:00,10.633333333333335,12398508.666391756,2264772.7278061383,4144687.7215448627
2023-06-01 00:45:00,10.525,11947330.348997543,2992647.4356732517,3952485.884705898
2023-06-01 00:50:00,10.416666666666668,10473941.56026473,3154940.335871491,2713728.6502362406
2023-06-01 00:55:00,10.308333333333334,10459301.29617323,2491424.816679537,5123776.907140384
2023-06-01 01:00:00,10.200000000000001,13534101.969266318,2382068.2759318836,5550466.046046271
2023-06-01 01:05:00,10.175,11250641.242971169,4279549.56492142,3688958.798929284
2023-06-01 01:10:00,10.15,9681064.563525086,2270013.940009024,3957401.1957804165
2023-06-01 01:15:00,10.125,14654938.074031157,3268199.2783828788,4137479.763936384
2023-06-01 01:20:00,10.100000000000001,13580448.948622534,2934253.9325295463,3612365.658459035
2023-06-01 01:25:00,10.075000000000001,7958985.067597046,937286.7156580151,5023453.257255356
2023-06-01 01:30:00,10.05,10918671.771249395,1084157.0830589416,3828854.6305285743
2023-06-01 01:35:00,10.025,10921008.587424912,2432007.998803186,5409850.478658023
2023-06-01 01:40:00,10.0,11191764.267068846,2913163.435846869,4766330.472809899
2023-06-01 01:45:00,9.975000000000001,11775501.562613942,3881779.395064822,3611070.124702018
2023-06-01 01:50:00,9.950000000000001,14747396.520143319,3027864.1557894372,6403627.86013683
2023-06-01 01:55:00,9.925,11728853.83980692,1178975.5814030427,3847877.850894573
2023-06-01 02:00:00,9.9,12878227.233101431,2496064.3864139905,3437941.648649359
2023-06-01 02:05:00,9.883333333333333,10695772.79245086,2951018.1501414496,3103277.834334264
2023-06-01 02:10:00,9.866666666666667,15965120.586265085,2065475.6490225228,3868465.4169464363
2023-06-01 02:15:00,9.850000000000001,15775655.823234793,2606862.9377826964,4355701.60954145
2023-06-01 02:20:00,9.833333333333334,12971155.759784441,2470922.134436964,2596016.0077322936
2023-06-01 02:25:00,9.816666666666666,9709241.007545354,2547773.3464417504,3095998.2125186026
2023-06-01 02:30:00,9.8,11899118.817006132,3081474.016293036,6252109.419344657
2023-06-01 02:35:00,9.783333333333335,7839394.570724777,3789599.5180700105,4477288.8920064885
2023-06-01 02:40:00,9.766666666666667,12752213.794055507,2223354.0642080065,4085072.053268922
2023-06-01 02:45:00,9.75,11879280.48659092,1326310.3217971649,2345435.89186525
2023-06-01 02:50:00,9.733333333333334,13148249.419879833,2389737.4587446745,5112200.718278392
2023-06-01 02:55:00,9.716666666666669,8419490.52229716,967210.692919072,2362717.5484247045
2023-06-01 03:00:00,9.700000000000001,11024489.159287767,1983853.4032367358,5202385.760020504
2023-06-01 03:05:00,9.733333333333334,14395240.748866972,1614551.9927068753,4583749.978768147
2023-06-01 03:10:00,9.766666666666667,9625512.586588722,3634161.7960709096,4710282.740770079
2023-06-01 03:15:00,9.8,9593724.311060365,3228165.4684803607,4190658.806729777
2023-06-01 03:20:00,9.833333333333334,10455108.662625188,3388722.211839952,2775937.1505817114
2023-06-01 03:25:00,9.866666666666667,11839552.803747691,3501702.2099588215,2728343.419514239
2023-06-01 03:30:00,9.900000000000002,11841086.773635168,4012667.378587254,4469325.612754594
2023-06-01 03:35:00,9.933333333333335,13571432.413281357,3031922.1539492584,3675459.908804272
2023-06-01 03:40:00,9.966666666666669,6667533.254796727,2570094.7358548134,4069539.9869692023
2023-06-01 03:45:00,10.000000000000002,11426565.030969648,2961176.046904573,3383321.5644559627
2023-06-01 03:50:00,10.033333333333335,12223497.02168247,2228693.6417874647,6025606.926815698
2023-06-01 03:55:00,10.066666666666668,11170423.320944006,3476283.4786351454,3769107.308082862
2023-06-01 04:00:00,10.100000000000001,12059618.983585859,2039206.9862911748,4696253.183526559
2023-06-01 04:05:00,10.225000000000001,9486254.907374274,3147101.9441001606,6534652.823969333
2023-06-01 04:10:00,10.350000000000001,10686663.447465597,2020036.2111180676,5941815.314684511
2023-06-01 04:15:00,10.475000000000001,10575093.393160598,1922178.916992361,4655865.111333091
2023-06-01 04:20:00,10.600000000000001,10131854.78000053,2745497.9988627075,3911813.5857030097
2023-06-01 04:25:00,10.725000000000001,11706402.694084339,2973097.3726876224,3537117.749633197
2023-06-01 04:30:00,10.850000000000001,6662626.963221321,2968977.9072686317,4176902.5295617967
2023-06-01 04:35:00,10.975000000000001,12667178.999063468,3019889.3736201236,3876702.861426059
2023-06-01 04:40:00,11.100000000000001,9234394.172458952,4605943.7487494545,3704373.0389152686
2023-06-01 04:45:00,11.225000000000001,10601248.239919093,2536122.40272979,5373993.97970082
2023-06-01 04:50:00,11.350000000000001,12038287.610729774,2400320.092939209,4033055.779864756
2023-06-01 04:55:00,11.475000000000001,7639130.921353574,3303822.8354366464,6284715.528793364
2023-06-01 05:00:00,11.600000000000001,12306887.254740033,3616864.984796089,3752519.892320442
2023-06-01 05:05:00,11.633333333333335,8479981.288656326,3238505.367458131,3077323.5570239415
2023-06-01 05:10:00,11.666666666666668,6724613.546128945,2910842.2640129346,6092793.408369151
2023-06-01 05:15:00,11.700000000000001,7240604.196623518,1909690.6681650672,3474529.8182237805
2023-06-01 05:20:00,11.733333333333334,10243473.201139562,1488978.971220235,5028872.331430006
2023-06-01 05:25:00,11.766666666666667,9360724.512922967,2373820.234735204,3407655.524704176
2023-06-01 05:30:00,11.8,9817210.979281172,2478988.6773279975,4592909.9794150945
2023-06-01 05:35:00,11.833333333333334,9415896.074340645,2533396.939106678,2907314.3360252026
2023-06-01 05:40:00,11.866666666666667,12291187.124494448,2361956.4955655527,6262626.941367864
2023-06-01 05:45:00,11.9,7503230.773837608,2888833.3751695603,4260426.859580186
2023-06-01 05:50:00,11.933333333333334,8153117.285063909,2590285.900794033,5204732.859308604
2023-06-01 05:55:00,11.966666666666667,9362341.509816874,2423981.980912227,4135507.1555431793
2023-06-01 06:00:00,12.0,10365993.877107097,2127306.8717529816,3484472.7100064857
2023-06-01 06:05:00,12.141666666666667,7114137.593344092,3350709.6393405274,3870117.488820363
2023-06-01 06:10:00,12.283333333333333,4432503.113210433,3426441.4553377437,4316229.54576577
2023-06-01 06:15:00,12.425,12039727.44122272,3360808.331576515,3379218.9759533713
2023-06-01 06:20:00,12.566666666666666,4998915.086998592,2299681.1945771137,4858844.2692129025
2023-06-01 06:25:00,12.708333333333334,5938652.213422776,1175245.3953339614,2464227.3546381434
2023-06-01 06:30:00,12.850000000000001,5471604.510869413,2332046.2632289897,6978490.321439166
2023-06-01 06:35:00,12.991666666666667,5079286.029845474,1364726.0832870107,3559236.7088147416
2023-06-01 06:40:00,13.133333333333335,8396674.488959892,3403695.9441301986,3038829.817116477
2023-06-01 06:45:00,13.275,5543745.782412406,2360172.843121084,5064716.479734677
2023-06-01 06:50:00,13.416666666666668,10306987.329275128,3253125.628742391,3777352.9370344123
2023-06-01 06:55:00,13.558333333333334,2934838.865586912,2956041.272864915,3555327.7923121504
2023-06-01 07:00:00,13.700000000000001,11340211.85573731,2468602.9828008274,13430875.672532743
2023-06-01 07:05:00,13.833333333333334,4918733.655973482,2260911.468865898,14679829.866362689
2023-06-01 07:10:00,13.966666666666669,9732459.355358124,2968847.3718914846,12354963.095397629
2023-06-01 07:15:00,14.100000000000001,8513882.080794118,3567038.8808588795,13623966.888868619
2023-06-01 07:20:00,14.233333333333334,1244964.9613856343,818209.9974083647,12341792.59311708
2023-06-01 07:25:00,14.366666666666667,6634633.18895906,2486071.8023933684,13982609.930534795
2023-06-01 07:30:00,14.5,5577128.585363611,2624883.429996483,11894970.988584738
2023-06-01 07:35:00,14.633333333333335,1810333.1293200096,3485092.4316589604,13039326.892273756
2023-06-01 07:40:00,14.766666666666667,6843021.3903430365,3276771.658576373,13598767.779751176
2023-06-01 07:45:00,14.9,7143274.786710499,1265716.4999948912,12196189.979766155
2023-06-01 07:50:00,15.033333333333335,1374765.8685156663,2454953.680655732,12869250.844956031
2023-06-01 07:55:00,15.166666666666668,4598669.035079419,2759564.4930764474,11551762.601779405
2023-06-01 08:00:00,15.3,2260654.1403661864,11950183.113922225,13509645.336802855
2023-06-01 08:05:00,15.433333333333334,2648693.6370434477,9723935.154298736,12651186.123920629
2023-06-01 08:10:00,15.566666666666668,5024005.425729054,9732375.1885457,12638497.44792014
2023-06-01 08:15:00,15.700000000000001,4137432.7263319087,9970109.013082812,13655399.643028272
2023-06-01 08:20:00,15.833333333333334,2923089.3280047844,9796758.190602863,14101517.108834973
2023-06-01 08:25:00,15.966666666666669,0.0,11482712.162642209,14213846.737121392
